Project: 2018 Post 45 Charleston Entrance Channel Maintenance and New Work Dredging
Permit: W912HP-18-C-0001
Client: Great Lakes Dredge & Dock Co.
Trip: 54
Vessel Name: GL702
Material Source: UNKNOWN
Transit Start: 5/26/2018 5:44:02 AM
Disposal Start: 5/26/2018 7:18:23 AM
Note: Coordinates are in NAD 1983 StatePlane South Carolina FIPS 3900 Feet

Local Date/Time,Easting,Northing,Heading,Speed (knots),Aft Draft (ft),Fore Draft (ft),Aft Ullage (ft),ForeUllage (ft),Water Depth (ft),Placement Phase,Hull Status
05/26/2018 02:58:02,2410974.20,301369.44,106.95,0.00,5.10,3.35,26.76,28.72,N/A,LOADING,CLOSED
05/26/2018 02:59:02,2410974.63,301370.37,107.12,0.00,5.41,3.85,25.38,25.85,N/A,LOADING,CLOSED
05/26/2018 03:00:01,2410974.72,301371.41,106.86,0.00,5.82,4.12,23.41,24.72,N/A,LOADING,CLOSED
05/26/2018 03:01:01,2410975.00,301372.79,106.04,0.00,6.14,4.39,22.33,24.06,N/A,LOADING,CLOSED
05/26/2018 03:02:02,2410975.02,301373.53,105.96,0.00,6.50,4.39,21.46,22.92,N/A,LOADING,CLOSED
05/26/2018 03:03:01,2410975.39,301374.78,106.31,0.00,6.77,4.80,20.43,22.48,N/A,LOADING,CLOSED
05/26/2018 03:04:01,2410976.19,301376.28,106.87,0.00,7.45,5.03,19.22,21.82,N/A,LOADING,CLOSED
05/26/2018 03:05:01,2410976.56,301376.92,107.21,0.00,7.77,5.34,18.55,21.16,N/A,LOADING,CLOSED
05/26/2018 03:06:02,2410977.50,301377.79,107.42,0.00,8.04,5.57,17.49,20.78,N/A,LOADING,CLOSED
05/26/2018 03:07:02,2410977.54,301379.29,107.25,0.00,8.54,5.84,17.21,19.77,N/A,LOADING,CLOSED
05/26/2018 03:08:01,2410978.04,301380.51,107.25,0.00,9.04,5.98,16.33,19.37,N/A,LOADING,CLOSED
05/26/2018 03:09:02,2410977.96,301381.43,107.42,0.00,9.44,6.25,15.81,18.74,N/A,LOADING,CLOSED
05/26/2018 03:10:02,2410978.31,301382.01,107.81,0.00,9.85,6.52,15.43,18.63,N/A,LOADING,CLOSED
05/26/2018 03:11:02,2410978.80,301382.54,107.86,0.00,10.17,6.93,14.44,18.28,N/A,LOADING,CLOSED
05/26/2018 03:12:01,2410978.79,301383.15,107.86,0.00,10.48,7.20,13.98,16.99,N/A,LOADING,CLOSED
05/26/2018 03:13:01,2410979.42,301383.66,107.56,0.00,10.76,7.29,13.17,17.00,N/A,LOADING,CLOSED
05/26/2018 03:14:02,2410978.94,301383.80,107.47,0.00,10.89,7.74,13.34,16.19,N/A,LOADING,CLOSED
05/26/2018 03:15:02,2410979.50,301384.02,107.34,0.00,11.39,7.83,12.67,15.80,N/A,LOADING,CLOSED
05/26/2018 03:16:02,2410979.06,301384.98,107.12,0.00,11.75,8.28,12.54,15.57,N/A,LOADING,CLOSED
05/26/2018 03:17:02,2410978.61,301385.26,106.95,0.00,11.84,8.47,11.64,15.14,N/A,LOADING,CLOSED
05/26/2018 03:18:02,2410978.17,301385.62,106.74,0.00,12.34,8.74,11.46,14.64,N/A,LOADING,CLOSED
05/26/2018 03:19:02,2410977.66,301386.29,106.69,0.00,12.54,8.99,10.88,14.49,N/A,LOADING,CLOSED
05/26/2018 03:20:02,2410977.27,301386.86,106.35,0.00,12.79,9.37,10.51,14.27,N/A,LOADING,CLOSED
05/26/2018 03:21:01,2410977.33,301387.15,106.18,0.00,12.97,9.69,9.81,12.55,N/A,LOADING,CLOSED
05/26/2018 03:22:02,2410976.87,301387.43,106.00,0.00,13.38,10.00,9.34,12.33,N/A,LOADING,CLOSED
05/26/2018 03:23:01,2410976.43,301386.51,105.83,0.00,13.65,10.14,9.18,12.27,N/A,LOADING,CLOSED
05/26/2018 03:24:02,2410976.48,301386.13,105.70,0.00,13.93,10.55,8.63,11.52,N/A,LOADING,CLOSED
05/26/2018 03:25:01,2410976.54,301386.42,105.52,0.00,14.11,10.59,8.41,11.62,N/A,LOADING,CLOSED
